instance_id,sample_id,smell,severity_consensus,repository,original_commit_hash,commit_remapped,effective_commit_hash,path_at_label,code_name,join_level,wmc,cbo,dit,noc,rfc,lcom,loc,total_methods,total_fields,method_cyclomatic_complexity,ck_version
4126029::blob,4126029,blob,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/elasticsearch/src/main/java/org/apache/calcite/adapter/elasticsearch/ElasticsearchJson.java,org.apache.calcite.adapter.elasticsearch.ElasticsearchJson.Aggregations,class_fqcn,11,5,1,0,13,1,35,7,2,,0.7.0
4126029::data class,4126029,data class,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/elasticsearch/src/main/java/org/apache/calcite/adapter/elasticsearch/ElasticsearchJson.java,org.apache.calcite.adapter.elasticsearch.ElasticsearchJson.Aggregations,class_fqcn,11,5,1,0,13,1,35,7,2,,0.7.0
4128743::feature envy,4128743,feature envy,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/materialize/Lattice.java,org.apache.calcite.materialize.Lattice.Measure#equals Object,method_fqcn+name+arity,,1,,,1,,3,,,3,0.7.0
4128743::long method,4128743,long method,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/materialize/Lattice.java,org.apache.calcite.materialize.Lattice.Measure#equals Object,method_fqcn+name+arity,,1,,,1,,3,,,3,0.7.0
4129438::blob,4129438,blob,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/elasticsearch/src/main/java/org/apache/calcite/adapter/elasticsearch/ElasticsearchRules.java,org.apache.calcite.adapter.elasticsearch.ElasticsearchRules.ElasticsearchConverterRule,class_fqcn,1,3,2,0,0,0,7,1,1,,0.7.0
4129438::data class,4129438,data class,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/elasticsearch/src/main/java/org/apache/calcite/adapter/elasticsearch/ElasticsearchRules.java,org.apache.calcite.adapter.elasticsearch.ElasticsearchRules.ElasticsearchConverterRule,class_fqcn,1,3,2,0,0,0,7,1,1,,0.7.0
4130065::blob,4130065,blob,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/plan/SubstitutionVisitor.java,org.apache.calcite.plan.SubstitutionVisitor.UnifyRuleCall,class_fqcn,6,9,1,0,8,4,32,5,4,,0.7.0
4130065::data class,4130065,data class,minor,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/plan/SubstitutionVisitor.java,org.apache.calcite.plan.SubstitutionVisitor.UnifyRuleCall,class_fqcn,6,9,1,0,8,4,32,5,4,,0.7.0
4130189::feature envy,4130189,feature envy,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/sql/validate/OverScope.java,org.apache.calcite.sql.validate.OverScope#getNode,method_fqcn+name+arity,,2,,,0,,3,,,1,0.7.0
4130189::long method,4130189,long method,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/sql/validate/OverScope.java,org.apache.calcite.sql.validate.OverScope#getNode,method_fqcn+name+arity,,2,,,0,,3,,,1,0.7.0
