instance_id,sample_id,smell,severity_consensus,repository,path_at_label,code_name,original_commit_hash,commit_remapped,effective_commit_hash,head_sha_used,n_revisions_observed,persistence_revisions,persistence_days,days_anomalous_negative,censored,death_reason,labelled_commit_date,death_commit,death_commit_date,last_observed_commit,last_observed_commit_date,proxy_method
4126029::blob,4126029,blob,none,git@github.com:apache/calcite.git,elasticsearch/src/main/java/org/apache/calcite/adapter/elasticsearch/ElasticsearchJson.java,org.apache.calcite.adapter.elasticsearch.ElasticsearchJson.Aggregations,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,12,1,62,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,61b858db13c2e1997e92172a09f38c639ffdceee,2019-05-21T19:11:32-04:00,2ceaf277b8eb16c6dbdce0e6129a8ad7c186a390,2026-08-24T18:01:39+03:00,entity_alive+size_shape_proxy_v1
4126029::data class,4126029,data class,none,git@github.com:apache/calcite.git,elasticsearch/src/main/java/org/apache/calcite/adapter/elasticsearch/ElasticsearchJson.java,org.apache.calcite.adapter.elasticsearch.ElasticsearchJson.Aggregations,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,12,1,62,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,61b858db13c2e1997e92172a09f38c639ffdceee,2019-05-21T19:11:32-04:00,2ceaf277b8eb16c6dbdce0e6129a8ad7c186a390,2026-08-24T18:01:39+03:00,entity_alive+size_shape_proxy_v1
4128743::feature envy,4128743,feature envy,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/materialize/Lattice.java,org.apache.calcite.materialize.Lattice.Measure#equals Object,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,20,1,16,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,906183a35b6355b3f5e394ce838f5ea1dad09ad2,2019-04-05T15:22:54-07:00,28231eaf52577c75f14e14f82354164c622378de,2026-08-25T13:51:02-07:00,entity_alive+size_shape_proxy_v1
4128743::long method,4128743,long method,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/materialize/Lattice.java,org.apache.calcite.materialize.Lattice.Measure#equals Object,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,20,1,16,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,906183a35b6355b3f5e394ce838f5ea1dad09ad2,2019-04-05T15:22:54-07:00,28231eaf52577c75f14e14f82354164c622378de,2026-08-25T13:51:02-07:00,entity_alive+size_shape_proxy_v1
4129438::blob,4129438,blob,none,git@github.com:apache/calcite.git,elasticsearch/src/main/java/org/apache/calcite/adapter/elasticsearch/ElasticsearchRules.java,org.apache.calcite.adapter.elasticsearch.ElasticsearchRules.ElasticsearchConverterRule,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,13,1,49,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,b727f3b04286dd39fddb25a9905819449d27475b,2019-05-08T19:45:37-04:00,02d8003f944519411f89f2357a3a84817afc1096,2026-04-23T10:02:45+08:00,entity_alive+size_shape_proxy_v1
4129438::data class,4129438,data class,none,git@github.com:apache/calcite.git,elasticsearch/src/main/java/org/apache/calcite/adapter/elasticsearch/ElasticsearchRules.java,org.apache.calcite.adapter.elasticsearch.ElasticsearchRules.ElasticsearchConverterRule,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,13,1,49,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,b727f3b04286dd39fddb25a9905819449d27475b,2019-05-08T19:45:37-04:00,02d8003f944519411f89f2357a3a84817afc1096,2026-04-23T10:02:45+08:00,entity_alive+size_shape_proxy_v1
4130065::blob,4130065,blob,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/plan/SubstitutionVisitor.java,org.apache.calcite.plan.SubstitutionVisitor.UnifyRuleCall,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,58,1,5,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,81143c8308b302a3f69eb14fb2dc6753a1b891bf,2019-03-25T18:47:11-07:00,21982e3bad81a6194faa78c568cd829d4fef6a7b,2024-11-25T18:25:55-08:00,entity_alive+size_shape_proxy_v1
4130065::data class,4130065,data class,minor,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/plan/SubstitutionVisitor.java,org.apache.calcite.plan.SubstitutionVisitor.UnifyRuleCall,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,58,1,5,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,81143c8308b302a3f69eb14fb2dc6753a1b891bf,2019-03-25T18:47:11-07:00,21982e3bad81a6194faa78c568cd829d4fef6a7b,2024-11-25T18:25:55-08:00,entity_alive+size_shape_proxy_v1
4130189::feature envy,4130189,feature envy,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/sql/validate/OverScope.java,org.apache.calcite.sql.validate.OverScope#getNode,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,3,1,269,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,571731b80a58eb095ebac7123285c375e7afff90,2019-12-14T18:57:27+03:00,c4042a34ef054b89cec1c47fefcbc8689bad55be,2023-05-29T14:21:12-07:00,entity_alive+size_shape_proxy_v1
4130189::long method,4130189,long method,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/sql/validate/OverScope.java,org.apache.calcite.sql.validate.OverScope#getNode,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,3,1,269,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,571731b80a58eb095ebac7123285c375e7afff90,2019-12-14T18:57:27+03:00,c4042a34ef054b89cec1c47fefcbc8689bad55be,2023-05-29T14:21:12-07:00,entity_alive+size_shape_proxy_v1
4131952::blob,4131952,blob,critical,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/util/ImmutableBitSet.java,org.apache.calcite.util.ImmutableBitSet,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,13,13,2126,False,True,right_censored_at_last_observed_revision,2019-03-20T11:10:30-04:00,a6010402746a2b9ab3f21a96fe2c2d7e64b1856b,2025-01-13T23:57:25-08:00,a6010402746a2b9ab3f21a96fe2c2d7e64b1856b,2025-01-13T23:57:25-08:00,entity_alive+size_shape_proxy_v1
4131952::data class,4131952,data class,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/util/ImmutableBitSet.java,org.apache.calcite.util.ImmutableBitSet,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,13,1,144,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,2a2de705f93c886cea0996e757348a2493eef737,2019-08-12T01:33:58-07:00,a6010402746a2b9ab3f21a96fe2c2d7e64b1856b,2025-01-13T23:57:25-08:00,entity_alive+size_shape_proxy_v1
4132083::feature envy,4132083,feature envy,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/sql/SqlSetOperator.java,org.apache.calcite.sql.SqlSetOperator.SqlSetOperator String|SqlKind|int|boolean,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,3,1,269,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,571731b80a58eb095ebac7123285c375e7afff90,2019-12-14T18:57:27+03:00,5529cdf86bc54b750572bcca775a87fcb61c6443,2026-06-08T14:48:57+08:00,entity_alive+size_shape_proxy_v1
4132083::long method,4132083,long method,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/sql/SqlSetOperator.java,org.apache.calcite.sql.SqlSetOperator.SqlSetOperator String|SqlKind|int|boolean,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,3,1,269,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,571731b80a58eb095ebac7123285c375e7afff90,2019-12-14T18:57:27+03:00,5529cdf86bc54b750572bcca775a87fcb61c6443,2026-06-08T14:48:57+08:00,entity_alive+size_shape_proxy_v1
4132362::feature envy,4132362,feature envy,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/sql/type/SqlTypeExplicitPrecedenceList.java,org.apache.calcite.sql.type.SqlTypeExplicitPrecedenceList#compareTypePrecedence RelDataType|RelDataType,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,5,5,1730,False,True,right_censored_at_last_observed_revision,2019-03-20T11:10:30-04:00,08f685683e8e6e97b47189d95603ccccaf17051d,2023-12-14T11:19:10-08:00,08f685683e8e6e97b47189d95603ccccaf17051d,2023-12-14T11:19:10-08:00,entity_alive+size_shape_proxy_v1
4132362::long method,4132362,long method,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/sql/type/SqlTypeExplicitPrecedenceList.java,org.apache.calcite.sql.type.SqlTypeExplicitPrecedenceList#compareTypePrecedence RelDataType|RelDataType,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,5,1,217,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,d287b0551a189fd1bf1f8a1ae3afb1b446823350,2019-10-24T11:42:34+08:00,08f685683e8e6e97b47189d95603ccccaf17051d,2023-12-14T11:19:10-08:00,entity_alive+size_shape_proxy_v1
4135214::feature envy,4135214,feature envy,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/rel/metadata/RelMdPredicates.java,org.apache.calcite.rel.metadata.RelMdPredicates.JoinConditionBasedPredicateInference.ExprsItr#hasNext,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,39,1,70,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,48093937ae4db179884d1111fa9d12e978e57e1f,2019-05-30T11:27:53+08:00,79de3a64bff8c79589bf7d16ff9f32124643eb67,2026-01-18T18:40:16+08:00,entity_alive+size_shape_proxy_v1
4135214::long method,4135214,long method,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/rel/metadata/RelMdPredicates.java,org.apache.calcite.rel.metadata.RelMdPredicates.JoinConditionBasedPredicateInference.ExprsItr#hasNext,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,39,1,70,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,48093937ae4db179884d1111fa9d12e978e57e1f,2019-05-30T11:27:53+08:00,79de3a64bff8c79589bf7d16ff9f32124643eb67,2026-01-18T18:40:16+08:00,entity_alive+size_shape_proxy_v1
4135708::blob,4135708,blob,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/tools/Programs.java,org.apache.calcite.tools.Programs.DecorrelateProgram,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,31,1,7,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,1f4b61989faec2a4b5a4a8eac58cd621843cf2b3,2019-03-27T11:12:44-07:00,a2a973ee074065553f082827b654cf43693ae060,2026-08-07T10:01:52-07:00,entity_alive+size_shape_proxy_v1
4135708::data class,4135708,data class,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/tools/Programs.java,org.apache.calcite.tools.Programs.DecorrelateProgram,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,31,1,7,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,1f4b61989faec2a4b5a4a8eac58cd621843cf2b3,2019-03-27T11:12:44-07:00,a2a973ee074065553f082827b654cf43693ae060,2026-08-07T10:01:52-07:00,entity_alive+size_shape_proxy_v1
4136680::blob,4136680,blob,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableProjectToCalcRule.java,org.apache.calcite.adapter.enumerable.EnumerableProjectToCalcRule,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,4,1,269,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,571731b80a58eb095ebac7123285c375e7afff90,2019-12-14T18:57:27+03:00,5824c54bbaa7cf527dd20ba85fb3b180219249e6,2021-10-05T09:14:26-07:00,entity_alive+size_shape_proxy_v1
4136680::data class,4136680,data class,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableProjectToCalcRule.java,org.apache.calcite.adapter.enumerable.EnumerableProjectToCalcRule,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,4,1,269,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,571731b80a58eb095ebac7123285c375e7afff90,2019-12-14T18:57:27+03:00,5824c54bbaa7cf527dd20ba85fb3b180219249e6,2021-10-05T09:14:26-07:00,entity_alive+size_shape_proxy_v1
4137834::feature envy,4137834,feature envy,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcRules.java,org.apache.calcite.adapter.jdbc.JdbcRules.JdbcProject#computeSelfCost RelOptPlanner|RelMetadataQuery,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,30,30,2065,False,True,right_censored_at_last_observed_revision,2019-03-20T11:10:30-04:00,394ec336d6e89884f817e1c3b3fa1c0da211fe59,2024-11-13T15:47:34-08:00,394ec336d6e89884f817e1c3b3fa1c0da211fe59,2024-11-13T15:47:34-08:00,entity_alive+size_shape_proxy_v1
4137834::long method,4137834,long method,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcRules.java,org.apache.calcite.adapter.jdbc.JdbcRules.JdbcProject#computeSelfCost RelOptPlanner|RelMetadataQuery,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,30,1,16,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,906183a35b6355b3f5e394ce838f5ea1dad09ad2,2019-04-05T15:22:54-07:00,394ec336d6e89884f817e1c3b3fa1c0da211fe59,2024-11-13T15:47:34-08:00,entity_alive+size_shape_proxy_v1
4138124::feature envy,4138124,feature envy,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/sql/validate/SqlValidatorImpl.java,org.apache.calcite.sql.validate.SqlValidatorImpl.Expander#visit SqlIdentifier,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,170,170,2714,False,True,right_censored_at_last_observed_revision,2019-03-20T11:10:30-04:00,9c0634d7fc09e5db21de182ca6cea3e8bda3b0e2,2026-08-24T21:49:18-07:00,9c0634d7fc09e5db21de182ca6cea3e8bda3b0e2,2026-08-24T21:49:18-07:00,entity_alive+size_shape_proxy_v1
4138124::long method,4138124,long method,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/sql/validate/SqlValidatorImpl.java,org.apache.calcite.sql.validate.SqlValidatorImpl.Expander#visit SqlIdentifier,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,170,1,9,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,136c9c5d75cf7b0809c3bde3525956d2c58470c7,2019-03-29T19:11:22-07:00,9c0634d7fc09e5db21de182ca6cea3e8bda3b0e2,2026-08-24T21:49:18-07:00,entity_alive+size_shape_proxy_v1
4139640::feature envy,4139640,feature envy,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/schema/impl/ModifiableViewTable.java,org.apache.calcite.schema.impl.ModifiableViewTable.ModifiableViewTableInitializerExpressionFactory#generationStrategy RelOptTable|int,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,5,5,1994,False,True,right_censored_at_last_observed_revision,2019-03-20T11:10:30-04:00,b1308feff49c8b747b3bbb52e1519d334bc984ec,2024-09-03T12:22:52-07:00,b1308feff49c8b747b3bbb52e1519d334bc984ec,2024-09-03T12:22:52-07:00,entity_alive+size_shape_proxy_v1
4139640::long method,4139640,long method,none,git@github.com:apache/calcite.git,core/src/main/java/org/apache/calcite/schema/impl/ModifiableViewTable.java,org.apache.calcite.schema.impl.ModifiableViewTable.ModifiableViewTableInitializerExpressionFactory#generationStrategy RelOptTable|int,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,ef00dee7f460f75b90d0e6a46123d97342348f41,5,1,269,False,False,condition_no_longer_holds,2019-03-20T11:10:30-04:00,571731b80a58eb095ebac7123285c375e7afff90,2019-12-14T18:57:27+03:00,b1308feff49c8b747b3bbb52e1519d334bc984ec,2024-09-03T12:22:52-07:00,entity_alive+size_shape_proxy_v1
