repository,local_dir,status,seconds,size_bytes,size_human,timestamp,error
git@github.com:apache/nifi-minifi.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/apache__nifi-minifi,cloned,1.3,721090,704.2KB,2026-09-03T16:52:57,
git@github.com:apache/commons-jelly.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/apache__commons-jelly,cloned,2.1,4663209,4.4MB,2026-09-03T16:52:59,
git@github.com:apache/mina-sshd.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/apache__mina-sshd,cloned,3.0,6863087,6.5MB,2026-09-03T16:53:02,
git@github.com:apache/directory-kerby.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/apache__directory-kerby,cloned,2.2,5790938,5.5MB,2026-09-03T16:53:04,
git@github.com:apache/tapestry-5.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/apache__tapestry-5,cloned,3.3,13294459,12.7MB,2026-09-03T16:53:07,
git@github.com:apache/calcite.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/apache__calcite,cloned,3.6,18281533,17.4MB,2026-09-03T16:53:11,
git@github.com:apache/fop.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/apache__fop,cloned,5.7,14109585,13.5MB,2026-09-03T16:53:16,
git@github.com:apache/poi.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/apache__poi,cloned,14.5,29578908,28.2MB,2026-09-03T16:53:31,
git@github.com:apache/ofbiz-framework.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/apache__ofbiz-framework,cloned,6.0,45043028,43.0MB,2026-09-03T16:53:37,
git@github.com:spring-projects/spring-data-book.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/spring-projects__spring-data-book,cloned,1.2,463818,452.9KB,2026-09-03T16:53:38,
git@github.com:Esri/arcgis-runtime-samples-android.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Esri__arcgis-runtime-samples-android,cloned,2.7,5039646,4.8MB,2026-09-03T23:24:28,
git@github.com:Esri/arcgis-runtime-samples-java.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Esri__arcgis-runtime-samples-java,cloned,3.6,6266205,6.0MB,2026-09-03T23:24:32,
git@github.com:Esri/defense-solutions-proofs-of-concept.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Esri__defense-solutions-proofs-of-concept,cloned,1.3,396396,387.1KB,2026-09-03T23:24:33,
git@github.com:Esri/geometry-api-java.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Esri__geometry-api-java,cloned,1.8,554299,541.3KB,2026-09-03T23:24:35,
git@github.com:Esri/geoportal-server-harvester.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Esri__geoportal-server-harvester,cloned,2.1,2995820,2.9MB,2026-09-03T23:24:37,
git@github.com:Esri/maps-app-android.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Esri__maps-app-android,cloned,1.5,504798,493.0KB,2026-09-03T23:24:39,
git@github.com:Esri/spatial-framework-for-hadoop.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Esri__spatial-framework-for-hadoop,cloned,2.3,388122,379.0KB,2026-09-03T23:24:41,
git@github.com:IBM/ibm-cos-sdk-java.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/IBM__ibm-cos-sdk-java,cloned,3.7,5958354,5.7MB,2026-09-03T23:24:45,
git@github.com:IBM/janusgraph-utils.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/IBM__janusgraph-utils,cloned,1.3,121992,119.1KB,2026-09-03T23:24:46,
git@github.com:IBM/og.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/IBM__og,cloned,2.9,2616627,2.5MB,2026-09-03T23:24:49,
git@github.com:Microsoft/ApplicationInsights-Java.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Microsoft__ApplicationInsights-Java,cloned,34.9,39679089,37.8MB,2026-09-03T23:25:24,
git@github.com:Microsoft/EmbeddedSocial-Android-SDK.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Microsoft__EmbeddedSocial-Android-SDK,cloned,1.4,811344,792.3KB,2026-09-03T23:25:25,
git@github.com:Microsoft/azure-chat-for-java.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Microsoft__azure-chat-for-java,cloned,1.4,102267,99.9KB,2026-09-03T23:25:26,
git@github.com:Microsoft/azure-devops-intellij.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Microsoft__azure-devops-intellij,cloned,1.8,2707062,2.6MB,2026-09-03T23:25:28,
git@github.com:Microsoft/azure-maven-plugins.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Microsoft__azure-maven-plugins,cloned,7.9,8090282,7.7MB,2026-09-03T23:25:36,
git@github.com:Microsoft/azure-tools-for-java.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Microsoft__azure-tools-for-java,cloned,14.5,23520489,22.4MB,2026-09-03T23:25:51,
git@github.com:Microsoft/java-debug.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Microsoft__java-debug,cloned,1.8,855885,835.8KB,2026-09-03T23:25:52,
git@github.com:Microsoft/malmo.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Microsoft__malmo,cloned,2.3,1455041,1.4MB,2026-09-03T23:25:55,
git@github.com:Microsoft/mssql-jdbc.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Microsoft__mssql-jdbc,cloned,5.8,5922134,5.6MB,2026-09-03T23:26:01,
git@github.com:Microsoft/pai.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Microsoft__pai,cloned,5.5,6818344,6.5MB,2026-09-03T23:26:06,
git@github.com:Microsoft/project-rome.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Microsoft__project-rome,cloned,1.5,416059,406.3KB,2026-09-03T23:26:08,
git@github.com:Microsoft/team-explorer-everywhere.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Microsoft__team-explorer-everywhere,cloned,2.2,1840079,1.8MB,2026-09-03T23:26:10,
git@github.com:Microsoft/vso-httpclient-java.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Microsoft__vso-httpclient-java,cloned,1.3,243417,237.7KB,2026-09-03T23:26:11,
git@github.com:SAP/SapMachine.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/SAP__SapMachine,cloned,71.3,207244996,197.6MB,2026-09-03T23:27:22,
git@github.com:SAP/cf-java-client-sap.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/SAP__cf-java-client-sap,cloned,1.4,893604,872.7KB,2026-09-03T23:27:24,
git@github.com:SAP/cloud-espm-v2.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/SAP__cloud-espm-v2,cloned,1.2,227207,221.9KB,2026-09-03T23:27:25,
git@github.com:SAP/iot-starterkit.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/SAP__iot-starterkit,cloned,1.7,335423,327.6KB,2026-09-03T23:27:27,
git@github.com:SAP/olingo-jpa-processor-v4.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/SAP__olingo-jpa-processor-v4,cloned,1.8,4339037,4.1MB,2026-09-03T23:27:28,
git@github.com:Shopify/graphql_java_gen.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Shopify__graphql_java_gen,cloned,1.3,106761,104.3KB,2026-09-03T23:27:30,
git@github.com:Shopify/mobile-buy-sdk-android.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Shopify__mobile-buy-sdk-android,cloned,1.3,781418,763.1KB,2026-09-03T23:27:31,
git@github.com:Tencent/GT.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Tencent__GT,cloned,1.2,190129,185.7KB,2026-09-03T23:27:32,
git@github.com:Tencent/QMUI_Android.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Tencent__QMUI_Android,cloned,1.5,2001646,1.9MB,2026-09-03T23:27:34,
git@github.com:Tencent/RapidView.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Tencent__RapidView,cloned,1.3,240108,234.5KB,2026-09-03T23:27:35,
git@github.com:Tencent/soter.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Tencent__soter,cloned,1.6,317916,310.5KB,2026-09-03T23:27:37,
git@github.com:Tencent/tinker.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/Tencent__tinker,cloned,1.5,1698352,1.6MB,2026-09-03T23:27:38,
git@github.com:alexa/alexa-skills-kit-sdk-for-java.git,/Users/praffulg/Downloads/Neelam paper/cache/repos/alexa__alexa-skills-kit-sdk-for-java,cloned,1.4,1035077,1010.8KB,2026-09-03T23:27:40,
